,parameter,count,doi
0,framework,1,'10.1016/j.erss.2021.102075'
1,agent-based model (abm) to identify conflicts,1,'10.1016/j.enpol.2021.112265'
2, expert interviews,1,'10.1016/j.enpol.2021.112265'
