,parameter,count,doi
0,arcgis (two-mile radius),2,"'10.1080/13549839.2021.1916899', '10.1080/13549839.2021.1916899'"
1,expanse (exploration of patterns in near-optimal energy scenarios),2,"'10.1016/j.apenergy.2019.113724', '10.1016/j.apenergy.2019.113724'"
2,modeling to generate alternatives (mga) method,2,"'10.1016/j.apenergy.2019.113724', '10.1016/j.apenergy.2019.113724'"
3,slack compared to least-cost,2,"'10.1016/j.apenergy.2019.113724', '10.1016/j.apenergy.2019.113724'"
4,pareto frontier,2,"'10.1016/j.apenergy.2019.113724', '10.1016/j.apenergy.2019.113724'"
5,near-optimal scenarios,2,"'10.1016/j.apenergy.2019.113724', '10.1016/j.apenergy.2019.113724'"
6,policies as constraints,2,"'10.1016/j.apenergy.2019.113724', '10.1016/j.apenergy.2019.113724'"
7,spatial constraints (maximal regional equity by population vs. demand),2,"'10.1016/j.apenergy.2019.113724', '10.1016/j.apenergy.2019.113724'"
