,parameter,count,doi
0,data preparation by aggregation though national quinitiles,2,"'10.1016/j.ref.2022.02.002', '10.1016/j.ref.2022.02.002'"
1,forth- and fith-quintile proportion,2,"'10.1016/j.ref.2022.02.002', '10.1016/j.ref.2022.02.002'"
2,weighted sum,2,"'10.1016/j.ref.2022.02.002', '10.1016/j.ref.2022.02.002'"
3,spatial resolution,2,"'10.1016/j.apenergy.2019.113724', '10.1016/j.apenergy.2019.113724'"
4,spatial constraints,2,"'10.1016/j.apenergy.2019.113724', '10.1016/j.apenergy.2019.113724'"
