,parameter,count,doi
0,range standardization method,1,'10.1016/j.ecolecon.2022.107456'
1,data preparation by aggregation though national quinitiles,1,'10.1016/j.ref.2022.02.002'
2,forth- and fith-quintile proportion,1,'10.1016/j.ref.2022.02.002'
3,weighted sum,1,'10.1016/j.ref.2022.02.002'
4,difference-in-differences (did) model,1,'10.1016/j.enpol.2021.112205'
5,spatial resolution,1,'10.1016/j.apenergy.2019.113724'
6,spatial constraints,1,'10.1016/j.apenergy.2019.113724'
