,parameter,count,doi
87,calculated demand,1,'10.1177/1420326X17713071'
88,north-south dependence and excercise of elite power (hegecomic narratives),1,'10.1016/j.gloenvcha.2019.101985'
89,experimentation of elites,1,'10.1016/j.gloenvcha.2019.101985'
90,financialistion (eg use of financia instruments,1,'10.1016/j.gloenvcha.2019.101985'
91,innovations,1,'10.1016/j.gloenvcha.2019.101985'
92,logics) used by elites,1,'10.1016/j.gloenvcha.2019.101985'
93,dispossesion done by (market) elites,1,'10.1016/j.gloenvcha.2019.101985'
94,clean heating subsidies,1,'10.1016/j.enpol.2021.112205'
95,cost of residents,1,'10.1016/j.enpol.2021.112205'
96,total cost of heating operation,1,'10.1016/j.enpol.2021.112205'
97,heating costs,1,'10.1016/j.enpol.2021.112205'
98,equipment purchase,1,'10.1016/j.enpol.2021.112205'
99,relative risk of pm,1,'10.1016/j.enpol.2021.112205'
100,inequality aversion,1,'10.1007/s10584-017-2094-x'
101,time preference,1,'10.1007/s10584-017-2094-x'
102,catastrophic damages,1,'10.1007/s10584-017-2094-x'
103,intragenerational distribution of damages,1,'10.1007/s10584-017-2094-x'
104,intragenerational abatement costs,1,'10.1007/s10584-017-2094-x'
105,"""developers’ non-recognition of the value of reciprocity among the local population translates into practices that make people feel disrespected and not recognized as equals",1,'https://doi.org/10.1016/j.worlddev.2021.105725'
106,"social discrimination""",1,'https://doi.org/10.1016/j.worlddev.2021.105725'
107,pluriversal technologies: participatory design (co-designing,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
108,co-production,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
109,co-ownership),1,'https://doi.org/10.1016/j.worlddev.2021.105725'
110,hostrical processes of accumuluation by dispossession and colonisalism,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
111,cultural domination,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
112,non-recogition of indigenous identities and disrespect for local customs lead to many conflicts and misunderstandings (incl. non-acceptance) around wind energy projects,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
113,hydropower: experience of hydropower projects negative for local population groups,1,'10.1016/j.apenergy.2021.118235'
114,particularly the displaced,1,'10.1016/j.apenergy.2021.118235'
115,it ouroots residents,1,'10.1016/j.apenergy.2021.118235'
116,destroys livelihoods,1,'10.1016/j.apenergy.2021.118235'
117,and fails to provide adequate economic opportunities to the displaced,1,'10.1016/j.apenergy.2021.118235'
118,people los agricultural,1,'10.1016/j.apenergy.2021.118235'
119,forest,1,'10.1016/j.apenergy.2021.118235'
120,and fisihing resources,1,'10.1016/j.apenergy.2021.118235'
121,people are at risk o flooding as areas can be washed away when the dam is fully released,1,'10.1016/j.apenergy.2021.118235'
122,cultural losses to the displaced people who are also cut off from their social netwrks and a variety of capitals,1,'10.1016/j.apenergy.2021.118235'
123,region,1,'10.1016/j.jclepro.2019.119626'
124,average wage,1,'10.1016/j.jclepro.2019.119626'
125,median us energy burden,1,'10.1016/j.enpol.2019.110935'
126,median low-income household's energy burden,1,'10.1016/j.enpol.2019.110935'
127,bill savings,1,'10.1016/j.enpol.2019.110935'
128,pv rebates,1,'10.1016/j.enpol.2019.110935'
129,pv income tax credits,1,'10.1016/j.enpol.2019.110935'
130,solar resource potential,1,'10.1016/j.enpol.2019.110935'
131,pv costs,1,'10.1016/j.enpol.2019.110935'
132,electricity prices,1,'10.1016/j.enpol.2019.110935'
133,energy insecurity,1,'10.1016/j.enpol.2019.110935'
134,upfront costs,1,'10.1016/j.enpol.2019.110935'
135,lack of access to financial instruments,1,'10.1016/j.enpol.2019.110935'
136,lack of information,1,'10.1016/j.enpol.2019.110935'
137,language barriers,1,'10.1016/j.enpol.2019.110935'
138,behavioral barriers,1,'10.1016/j.enpol.2019.110935'
139,total number of pv installations,1,'10.1016/j.enpol.2019.110935'
140,total installed capacity,1,'10.1016/j.enpol.2019.110935'
141,educational attainment,1,'10.1016/j.enpol.2019.110935'
142,linguistic isolation,1,'10.1016/j.enpol.2019.110935'
143,asthma emergency room visits,1,'10.1016/j.enpol.2019.110935'
144,cardiovascular disease emergency room visits,1,'10.1016/j.enpol.2019.110935'
145,percent low birthweight births,1,'10.1016/j.enpol.2019.110935'
146,ozone concentrations,1,'10.1016/j.enpol.2019.110935'
147,pm2.5 concentrations,1,'10.1016/j.enpol.2019.110935'
148,diesel pm emissions,1,'10.1016/j.enpol.2019.110935'
149,drinking water contamination,1,'10.1016/j.enpol.2019.110935'
150,pesticide use,1,'10.1016/j.enpol.2019.110935'
151,toxic releases,1,'10.1016/j.enpol.2019.110935'
152,traffic density,1,'10.1016/j.enpol.2019.110935'
153,cleanup sites,1,'10.1016/j.enpol.2019.110935'
154,groundwater threats,1,'10.1016/j.enpol.2019.110935'
155,hazardous waste,1,'10.1016/j.enpol.2019.110935'
156,impaired water bodies,1,'10.1016/j.enpol.2019.110935'
157,solid waste sites,1,'10.1016/j.enpol.2019.110935'
158,median household income for each census tract,1,'10.1016/j.enpol.2019.110935'
159,solar irradiance,1,'10.1016/j.enpol.2019.110935'
160,median household income,1,'10.1016/j.enpol.2019.110935'
161,electricity rates,1,'10.1016/j.enpol.2019.110935'
162,percentage of disadvantaged communities per area,1,'10.1016/j.enpol.2019.110935'
163,pv installations over time,1,'10.1016/j.enpol.2019.110935'
164,access to information,1,'10.1016/j.enpol.2019.110935'
165,perception of risk,1,'10.1016/j.enpol.2019.110935'
166,neighborhood effects,1,'10.1016/j.enpol.2019.110935'
167,social diffusion peer effect,1,'10.1016/j.enpol.2019.110935'
168,ethnicity,1,'10.1016/j.enpol.2019.110935'
169,location of fossil fuelled plants,1,'10.1016/j.enpol.2019.110935'
170,housing costs,1,'10.1016/j.enpol.2019.110935'
171,geospatial granularity,1,'10.1016/j.enpol.2019.110935'
172,technical literacy,1,'10.1016/j.erss.2021.102455'
173,ability to affort appliances,1,'10.1016/j.erss.2021.102455'
174,employment status,1,'10.1016/j.erss.2021.102455'
175,ability to carry higher mental load (time availability),1,'10.1016/j.erss.2021.102455'
176,risk perception,1,'10.1016/j.erss.2021.102455'
177,trust in community,1,'10.1016/j.erss.2021.102455'
178,trust in governance,1,'10.1016/j.erss.2021.102455'
179,trust in private companies,1,'10.1016/j.erss.2021.102455'
180,social connectedness/network,1,'10.1016/j.erss.2021.102455'
181,price instability,1,'10.1016/j.erss.2021.102455'
182,digital vulnerability,1,'10.1016/j.erss.2021.102455'
183,health status,1,'10.1016/j.erss.2021.102455'
184,social housing,1,'10.1007/s10584-019-02521-7'
185,ability to shift demand,1,'10.1007/s10584-019-02521-7'
186,digital literacy,1,'10.1007/s10584-019-02521-7'
187,barriers to participate,1,'10.1007/s10584-019-02521-7'
188,long-term cost for taxpayers,1,'10.1007/s10584-019-02521-7'
189,risk of accidents,1,'10.1007/s10584-019-02521-7'
190,uneven access to subsidies and incentives,1,'10.1007/s10584-019-02521-7'
191,ownership rate based on income,1,'10.1007/s10584-019-02521-7'
192,increase in electricity bills,1,'10.1007/s10584-019-02521-7'
193,efficiency measures based on income,1,'10.1007/s10584-019-02521-7'
194,building efficiency/insulation,1,'10.1007/s10584-019-02521-7'
195,efficient appliances,1,'10.1007/s10584-019-02521-7'
196,retraining,1,'10.1007/s10584-019-02521-7'
197,retraining at higher ages,1,'10.1007/s10584-019-02521-7'
198,limited access to finance,1,'10.1007/s10584-019-02521-7'
199,ability to participate due to housing status,1,'10.1007/s10584-019-02521-7'
200,unsafe working conditions in the supply line,1,'10.1007/s10584-019-02521-7'
201,rate of disconnection,1,'10.1007/s10584-019-02521-7'
202,rate of service disruption,1,'10.1007/s10584-019-02521-7'
203,rising energy costs,1,'10.1007/s10584-019-02521-7'
204, environmental burdens,1,'10.1007/s10584-019-02521-7'
205,energy access,1,'10.1007/s10584-019-02521-7'
206,limited ownership due to income,1,'10.1007/s10584-019-02521-7'
207,(inflexible) consumption patterns,1,'10.1007/s10584-019-02521-7'
208,heating cost,1,'10.1016/j.ecolecon.2022.107456'
209,saftey perfomance,1,'10.1016/j.ecolecon.2022.107456'
210,career field,1,'10.1016/j.ecolecon.2022.107456'
211,monthly family income,1,'10.1016/j.ecolecon.2022.107456'
212,energy subsidy satisfaction,1,'10.1016/j.ecolecon.2022.107456'
213,energy upgrade awareness,1,'10.1016/j.ecolecon.2022.107456'
214,number of rooms,1,'10.1016/j.ecolecon.2022.107456'
215,age of housing,1,'10.1016/j.ecolecon.2022.107456'
216,type of housing,1,'10.1016/j.ecolecon.2022.107456'
217,percentage of total expenditures spent on energy,1,'10.1016/j.ecolecon.2022.107456'
218,willingness to change behaviour,1,'10.1016/j.ecolecon.2022.107456'
219,active participation in energy reform,1,'10.1016/j.ecolecon.2022.107456'
220,perceived risks,1,'10.1016/j.ecolecon.2022.107456'
221,education level,1,'10.1016/j.ecolecon.2022.107456'
222,demand elasticity,1,'10.1002/ente.202000668'
223,budget constraints,1,'10.1002/ente.202000668'
224,credit constraints,1,'10.1002/ente.202000668'
225,disposable income,1,'10.1002/ente.202000668'
226,owned assets,1,'10.1002/ente.202000668'
227,accessibility to technologies,1,'10.1002/ente.202000668'
228,change in income,1,'10.1002/ente.202000668'
229,consumption,1,'10.1002/ente.202000668'
230,price changes,1,'10.1002/ente.202000668'
231,productivity,1,'10.1002/ente.202000668'
232,consumption preferences,1,'10.1002/ente.202000668'
233,skills,1,'10.1002/ente.202000668'
234,employment,1,'10.1002/ente.202000668'
235,savings,1,'10.1002/ente.202000668'
236,preference shares,1,'10.1002/ente.202000668'
237,substitution elasticity,1,'10.1002/ente.202000668'
238,wage rate,1,'10.1002/ente.202000668'
239,return rates,1,'10.1002/ente.202000668'
240,credit rationing according to income,1,'10.1002/ente.202000668'
241,building conditions,1,'10.1002/ente.202000668'
242,tenure,1,'10.1002/ente.202000668'
243,age of appliances,1,'10.1002/ente.202000668'
244,building envelope,1,'10.1002/ente.202000668'
245,household condition,1,'10.1002/ente.202000668'
246,dwelling ownership,1,'10.1002/ente.202000668'
247,employment in carbon-intensive industries,1,'10.1002/ente.202000668'
248,labor types (skilled/unskilled),1,'10.1002/ente.202000668'
249,capital endowments,1,'10.1002/ente.202000668'
250,consumption patterns,1,'10.1002/ente.202000668'
251,economic poverty,1,'10.1002/ente.202000668'
252,urban-rural statement,1,'10.1002/ente.202000668'
253,subsidies,1,'10.1002/ente.202000668'
254,air pollution,1,'10.1002/ente.202000668'
255,degree of urbanization,1,'10.1002/ente.202000668'
256,time spent indoors,1,'10.1002/ente.202000668'
257,average room sizes,1,'10.1002/ente.202000668'
258,location of residency,1,'10.1002/ente.202000668'
259,location of place of employment,1,'10.1002/ente.202000668'
260,birth rates,1,'10.1002/ente.202000668'
261,migration,1,'10.1002/ente.202000668'
262,work-loss days,1,'10.1002/ente.202000668'
263,social transfers,1,'10.1002/ente.202000668'
264,social benefits,1,'10.1002/ente.202000668'
265,hours worked,1,'10.1002/ente.202000668'
266,number of children under six,1,'10.1002/ente.202000668'
267,energy efficiency of property,1,'10.1016/j.erss.2017.09.035'
268,needs,1,'10.1016/j.erss.2017.09.035'
269,the flexibility to meet these needs,1,'10.1016/j.erss.2017.09.035'
270,energy-related practices,1,'10.1016/j.erss.2017.09.035'
271,quality of dwelling fabric,1,'10.1016/j.erss.2017.09.035'
272,energy fuel costs,1,'10.1016/j.erss.2017.09.035'
273,energy supply issues,1,'10.1016/j.erss.2017.09.035'
274,stability of household income,1,'10.1016/j.erss.2017.09.035'
